-2.000000		0.000000	0.000000
-1.975000		0.000000	0.000000
-1.950000		0.000000	0.000000
-1.925000		0.000000	0.000000
-1.900000		0.000000	0.000000
-1.875000		0.000000	0.000000
-1.850000		0.000000	0.000000
-1.825000		0.000000	0.000000
-1.800000		0.000000	0.000000
-1.775000		0.000000	0.000000
-1.750000		0.000000	0.000000
-1.725000		0.000000	0.000000
-1.700000		0.000000	0.000000
-1.675000		0.000000	0.000000
-1.650000		0.000000	0.000000
-1.625000		0.000000	0.000000
-1.600000		0.000000	0.000000
-1.575000		0.000000	0.000000
-1.550000		0.000000	0.000000
-1.525000		0.000000	0.000000
-1.500000		0.000000	0.000000
-1.475000		0.000000	0.000000
-1.450000		0.000000	0.000000
-1.425000		0.000000	0.000000
-1.400000		0.000000	0.000000
-1.375000		0.000000	0.000000
-1.350000		0.000000	0.000000
-1.325000		0.000000	0.000000
-1.300000		0.000000	0.000000
-1.275000		0.000000	0.000000
-1.250000		0.000000	0.000000
-1.225000		0.000000	0.000000
-1.200000		0.000000	0.000000
-1.175000		0.000000	0.000000
-1.150000		0.000000	0.000000
-1.125000		0.000000	0.000000
-1.100000		0.000000	0.000000
-1.075000		0.000000	0.000000
-1.050000		0.000000	0.000000
-1.025000		0.000000	0.000000
-1.000000		0.000000	0.000000
-0.975000		0.000000	0.000000
-0.950000		0.000000	0.000000
-0.925000		0.000000	0.000000
-0.900000		0.000000	0.000000
-0.875000		0.000000	0.000000
-0.850000		0.000000	0.000000
-0.825000		0.000000	0.000000
-0.800000		0.000000	0.000000
-0.775000		0.000000	0.000000
-0.750000		0.000000	0.000000
-0.725000		0.000000	0.000000
-0.700000		0.000000	0.000000
-0.675000		0.000000	0.000000
-0.650000		0.000000	0.000000
-0.625000		0.000000	0.000000
-0.600000		0.000000	0.000000
-0.575000		0.000000	0.000000
-0.550000		0.000000	0.000000
-0.525000		0.000000	0.000000
-0.500000		0.000000	0.000000
-0.475000		0.000000	0.000000
-0.450000		0.000000	0.000000
-0.425000		0.000000	0.000000
-0.400000		0.000000	0.000000
-0.375000		0.000000	0.000000
-0.350000		0.000000	0.000000
-0.325000		0.000000	0.000000
-0.300000		0.000000	0.000000
-0.275000		0.000000	0.000000
-0.250000		0.000000	0.000000
-0.225000		0.000000	0.000000
-0.200000		0.000000	0.000000
-0.175000		0.000000	0.000000
-0.150000		0.000000	0.000000
-0.125000		0.000000	0.000000
-0.100000		0.000000	0.000000
-0.075000		0.000000	0.000000
-0.050000		0.000000	0.000000
-0.025000		0.000000	0.000000
-0.000000		0.000000	0.000000
0.025000		0.017248	371.640550
0.050000		0.017636	371.640986
0.075000		0.017698	371.641427
0.100000		0.017750	371.641870
0.125000		0.017803	371.642315
0.150000		0.017855	371.642761
0.175000		0.017903	371.643208
0.200000		0.017940	371.643656
0.225000		0.017976	371.644105
0.250000		0.018011	371.644554
0.275000		0.018047	371.645005
0.300000		0.018082	371.645457
0.325000		0.018117	371.645909
0.350000		0.018152	371.646363
0.375000		0.018186	371.646817
0.400000		0.018220	371.647272
0.425000		0.018254	371.647728
0.450000		0.018288	371.648185
0.475000		0.018321	371.648642
0.500000		0.018354	371.649101
0.525000		0.018387	371.649560
0.550000		0.018419	371.650020
0.575000		0.018451	371.650481
0.600000		0.018483	371.650943
0.625000		0.018515	371.651405
0.650000		0.018546	371.651868
0.675000		0.018577	371.652332
0.700000		0.018607	371.652797
0.725000		0.018626	371.653263
0.750000		0.018645	371.653728
0.775000		0.018664	371.654195
0.800000		0.018682	371.654662
0.825000		0.018700	371.655129
0.850000		0.018718	371.655597
0.875000		0.018736	371.656065
0.900000		0.018753	371.656533
0.925000		0.018770	371.657002
0.950000		0.018787	371.657472
0.975000		0.018803	371.657942
1.000000		0.018820	371.658412
1.025000		0.018836	371.658883
1.050000		0.018851	371.659354
1.075000		0.018867	371.659825
1.100000		0.018882	371.660297
1.125000		0.018896	371.660769
1.150000		0.018911	371.661242
1.175000		0.018925	371.661715
1.200000		0.018939	371.662188
1.225000		0.018953	371.662662
1.250000		0.018966	371.663136
1.275000		0.018979	371.663610
1.300000		0.018992	371.664085
1.325000		0.019005	371.664560
1.350000		0.019017	371.665035
1.375000		0.019028	371.665511
1.400000		0.019037	371.665987
1.425000		0.019046	371.666463
1.450000		0.019055	371.666939
1.475000		0.019064	371.667415
1.500000		0.019072	371.667892
1.525000		0.019081	371.668369
1.550000		0.019090	371.668846
1.575000		0.019099	371.669323
1.600000		0.019108	371.669801
1.625000		0.019117	371.670279
1.650000		0.019125	371.670757
1.675000		0.019134	371.671235
1.700000		0.019143	371.671714
1.725000		0.019152	371.672192
1.750000		0.019161	371.672671
1.775000		0.019169	371.673150
1.800000		0.019175	371.673630
1.825000		0.019177	371.674109
1.850000		0.019179	371.674588
1.875000		0.019181	371.675068
1.900000		0.019183	371.675548
1.925000		0.019185	371.676027
1.950000		0.019187	371.676507
1.975000		0.019189	371.676986
2.000000		0.019191	371.677466
2.025000		0.019193	371.677946
2.050000		0.019195	371.678426
2.075000		0.019197	371.678906
2.100000		0.019200	371.679386
2.125000		0.019202	371.679866
2.150000		0.019204	371.680346
2.175000		0.019206	371.680826
2.200000		0.019208	371.681306
2.225000		0.019210	371.681786
2.250000		0.019212	371.682267
2.275000		0.019215	371.682747
2.300000		0.019220	371.683227
2.325000		0.019225	371.683708
2.350000		0.019230	371.684189
2.375000		0.019235	371.684669
2.400000		0.019239	371.685150
2.425000		0.019244	371.685631
2.450000		0.019249	371.686113
2.475000		0.019254	371.686594
2.500000		0.019259	371.687075
